IPTV,#genre#
CCTV-1综合,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000152?m3u8=.m3u8
CCTV-2财经,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000477?m3u8=.m3u8
CCTV-3综艺,http://10.255.126.3:8006/AHBKLIVE/11111120220816000000000000000001?m3u8=.m3u8
CCTV-4中文国际,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000573?m3u8=.m3u8
CCTV-5体育,http://10.255.126.3:8006/AHBKLIVE/11111120220816000000000000000003?m3u8=.m3u8
CCTV-6电影,http://10.255.126.3:8006/AHBKLIVE/11111120220816000000000000000005?m3u8=.m3u8
CCTV-7国防军事,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000485?m3u8=.m3u8
CCTV-8电视剧,http://10.255.126.3:8006/AHBKLIVE/11111120220816000000000000000007?m3u8=.m3u8
CCTV-9纪录,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000478?m3u8=.m3u8
CCTV-10科教,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000480?m3u8=.m3u8
CCTV-11戏曲,http://10.255.126.201:8112/AHBKLIVE/00000001000000050000000000000583?m3u8=.m3u8 
CCTV-12社会与法,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000482?m3u8=.m3u8
CCTV-13新闻,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000602?m3u8=.m3u8
CCTV-14少儿,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000483?m3u8=.m3u8
CCTV-15音乐,http://10.255.126.201:8112/AHBKLIVE/00000001000000050000000000000587?m3u8=.m3u8
CCTV-16奥林匹克,http://10.255.126.3:8006/AHBKLIVE/11111120211027000000000000000007?3u8=.m3u8
CCTV-17农村农业,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000580?m3u8=.m3u8
CCTV-5+体育赛事,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000153?m3u8=.m3u8
宁国新闻,http://114.96.140.218:8888/udp/238.1.78.216:7600
广德新闻,http://tlive.gdtv.ah.cn/live/newsTV.m3u8
广德生活,http://tlive.gdtv.ah.cn/live/shenghuoTV.m3u8
绩溪新闻,http://xzbf.fst1994.cn:80/jxtv/jxzh.m3u8
郎溪新闻,http://114.96.140.218:8888/udp/238.1.78.214:7584
旌德新闻,http://114.96.140.218:8888/udp/238.1.78.215:7592
安徽卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000039?m3u8=.m3u8
安徽综艺,http://10.255.126.3:8006/AHBKLIVE/11111100000000000000000000000011?m3u8=.m3u8
安徽公共,http://10.255.126.3:8006/AHBKLIVE/11111100000000000000000000000009?m3u8=.m3u8
安徽影视,http://10.255.126.3:8006/AHBKLIVE/11111100000000000000000000000007?m3u8=.m3u8
安徽经济,http://10.255.126.3:8006/AHBKLIVE/11111100000000000000000000000005?m3u8=.m3u8
安徽科教,http://10.255.126.3:8006/AHBKLIVE/11111100000000000000000000000013?m3u8=.m3u8
安徽国际,http://10.255.126.3:8006/AHBKLIVE/11111100000000000000000000000015?m3u8=.m3u8
浙江卫视高清,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000265?m3u8=.m3u8
东方卫视高清,http://10.255.126.3:8006/AHBKLIVE/00005000000000000000000000000263?m3u8=.m3u8
北京卫视高清,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000194?m3u8=.m3u8
湖南卫视高清,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000195?m3u8=.m3u8
江苏卫视高清,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000198?m3u8=.m3u8
广东卫视高清,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000445?m3u8=.m3u8
黑龙江卫视高清,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000196?m3u8=.m3u8
山东卫视高清,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000470?m3u8=.m3u8
